"word","doc","freq","IES"
4779,4,1,1
4834,4,1,1
4884,4,1,1
4899,4,1,1
4919,4,1,1
4953,4,1,1
5014,4,1,1
5081,4,2,1
5088,4,1,1
5115,4,1,1
5142,4,3,1
5175,4,3,1
5225,4,1,1
5229,4,1,1
5309,4,1,1
5454,4,1,1
5479,4,1,1
5527,4,4,1
5604,4,1,1
5670,4,1,1
5723,4,2,1
5736,4,19,1
5857,4,1,1
5864,4,6,1
5867,4,1,1
5872,4,1,1
5901,4,1,1
16,5,1,1
46,5,1,1
70,5,1,1
96,5,1,1
115,5,1,1
224,5,2,1
254,5,1,1
265,5,1,1
435,5,1,1
473,5,2,1
656,5,2,1
657,5,3,1
731,5,1,1
789,5,1,1
846,5,1,1
858,5,1,1
870,5,1,1
917,5,1,1
1009,5,1,1
1056,5,1,1
1065,5,1,1
1129,5,1,1
1169,5,2,1
1276,5,1,1
1282,5,1,1
1330,5,1,1
1331,5,1,1
1345,5,1,1
1351,5,1,1
1373,5,1,1
1375,5,1,1
1418,5,1,1
1429,5,1,1
1434,5,2,1
1642,5,1,1
1815,5,1,1
1827,5,1,1
1855,5,1,1
1942,5,1,1
1981,5,2,1
1997,5,1,1
2065,5,1,1
2123,5,1,1
2149,5,1,1
2341,5,1,1
2345,5,1,1
2449,5,1,1
2452,5,2,1
2458,5,1,1
2505,5,3,1
2537,5,1,1
2568,5,1,1
2632,5,1,1
2637,5,1,1
2639,5,1,1
2659,5,1,1
2660,5,1,1
2795,5,2,1
2812,5,4,1
2839,5,1,1
2840,5,1,1
2855,5,1,1
2877,5,1,1
3016,5,1,1
3035,5,1,1
3190,5,1,1
3224,5,1,1
3502,5,1,1
3526,5,1,1
3649,5,1,1
3660,5,2,1
3677,5,1,1
3685,5,1,1
3697,5,1,1
3785,5,1,1
3914,5,1,1
3919,5,1,1
3925,5,1,1
4071,5,1,1
4093,5,1,1
4114,5,1,1
4142,5,1,1
4157,5,1,1
4186,5,15,1
4190,5,1,1
4202,5,1,1
4204,5,1,1
4214,5,3,1
4253,5,1,1
4255,5,3,1
4273,5,1,1
4372,5,1,1
4418,5,2,1
4431,5,1,1
4436,5,1,1
4461,5,1,1
4497,5,1,1
4565,5,3,1
4570,5,4,1
4603,5,1,1
4642,5,1,1
4805,5,1,1
4884,5,1,1
4899,5,1,1
4924,5,1,1
4962,5,1,1
4964,5,1,1
4979,5,1,1
4999,5,1,1
5081,5,3,1
5088,5,1,1
5136,5,1,1
5225,5,1,1
5254,5,2,1
5277,5,1,1
5350,5,2,1
5481,5,3,1
5594,5,1,1
5598,5,2,1
5701,5,1,1
5714,5,1,1
5727,5,1,1
5730,5,1,1
5735,5,1,1
5821,5,1,1
5867,5,1,1
5903,5,1,1
31,6,2,1
96,6,1,1
112,6,1,1
181,6,1,1
216,6,1,1
224,6,1,1
227,6,1,1
473,6,1,1
529,6,1,1
611,6,2,1
781,6,1,1
804,6,1,1
810,6,2,1
870,6,1,1
917,6,1,1
924,6,1,1
926,6,1,1
931,6,1,1
944,6,1,1
1042,6,1,1
1064,6,1,1
1079,6,1,1
1083,6,1,1
1191,6,1,1
1197,6,2,1
1246,6,4,1
1344,6,9,1
1425,6,1,1
1621,6,2,1
1627,6,1,1
1815,6,1,1
1827,6,1,1
1855,6,1,1
1866,6,1,1
1942,6,1,1
1993,6,1,1
2069,6,2,1
2155,6,1,1
2444,6,1,1
2447,6,1,1
2476,6,2,1
2537,6,1,1
2606,6,1,1
2626,6,1,1
2675,6,2,1
2713,6,2,1
2719,6,2,1
2747,6,1,1
2812,6,5,1
2877,6,1,1
2880,6,2,1
3004,6,2,1
3061,6,1,1
3095,6,1,1
3141,6,1,1
3220,6,1,1
3275,6,1,1
3337,6,7,1
3481,6,1,1
3502,6,1,1
3684,6,1,1
3686,6,1,1
3693,6,6,1
4046,6,8,1
4090,6,1,1
4158,6,1,1
4210,6,1,1
4211,6,1,1
4273,6,2,1
4362,6,1,1
4369,6,2,1
4505,6,1,1
4528,6,1,1
4570,6,5,1
4573,6,1,1
4588,6,2,1
4742,6,2,1
4884,6,1,1
4953,6,1,1
5004,6,2,1
5081,6,4,1
5137,6,1,1
5157,6,1,1
5183,6,1,1
5229,6,1,1
5335,6,1,1
5609,6,2,1
5701,6,2,1
5723,6,2,1
5737,6,3,1
30,7,3,1
74,7,1,1
96,7,1,1
100,7,1,1
180,7,1,1
181,7,2,1
208,7,2,1
224,7,1,1
333,7,1,1
334,7,1,1
357,7,1,1
428,7,1,1
449,7,1,1
473,7,1,1
477,7,3,1
511,7,2,1
530,7,1,1
620,7,1,1
814,7,2,1
815,7,1,1
827,7,1,1
833,7,3,1
917,7,1,1
937,7,1,1
943,7,1,1
944,7,1,1
970,7,1,1
1079,7,1,1
1120,7,1,1
1123,7,2,1
1223,7,1,1
1284,7,1,1
1329,7,2,1
1330,7,5,1
1372,7,1,1
1396,7,2,1
1487,7,1,1
1504,7,1,1
1552,7,1,1
1623,7,2,1
1725,7,1,1
1737,7,1,1
1752,7,1,1
1770,7,1,1
1771,7,1,1
1815,7,1,1
1827,7,1,1
1830,7,3,1
1887,7,1,1
2065,7,1,1
2200,7,1,1
2221,7,1,1
2274,7,1,1
2276,7,1,1
2326,7,3,1
2334,7,1,1
2336,7,1,1
2395,7,1,1
2449,7,1,1
2497,7,2,1
2505,7,1,1
2537,7,1,1
2550,7,2,1
2558,7,2,1
2564,7,1,1
2639,7,3,1
2720,7,1,1
2751,7,1,1
2798,7,1,1
2812,7,3,1
2822,7,1,1
2844,7,1,1
2877,7,1,1
2921,7,1,1
2931,7,2,1
3023,7,1,1
3061,7,2,1
3133,7,1,1
3147,7,1,1
3176,7,3,1
3190,7,1,1
3245,7,1,1
3282,7,1,1
3285,7,1,1
3292,7,1,1
3308,7,1,1
3314,7,3,1
3488,7,4,1
3502,7,1,1
3538,7,1,1
3540,7,3,1
3548,7,7,1
3593,7,1,1
3647,7,2,1
3674,7,1,1
3681,7,1,1
3741,7,1,1
3936,7,1,1
4004,7,1,1
4048,7,1,1
4071,7,2,1
4093,7,2,1
4121,7,1,1
4158,7,4,1
4159,7,1,1
4185,7,4,1
4229,7,2,1
4238,7,1,1
4273,7,2,1
4302,7,1,1
4399,7,1,1
4441,7,3,1
4466,7,1,1
4516,7,1,1
4565,7,2,1
4570,7,4,1
4581,7,4,1
4613,7,2,1
4653,7,8,1
4654,7,1,1
4659,7,2,1
4672,7,1,1
4797,7,3,1
4803,7,1,1
4808,7,2,1
4834,7,2,1
4899,7,1,1
5081,7,1,1
5123,7,1,1
5142,7,2,1
5206,7,1,1
5436,7,1,1
5446,7,1,1
5730,7,1,1
5798,7,3,1
5879,7,1,1
5901,7,1,1
52,8,4,1
70,8,1,1
162,8,3,1
283,8,1,1
367,8,1,1
371,8,1,1
372,8,1,1
540,8,1,1
737,8,1,1
804,8,3,1
861,8,1,1
1017,8,1,1
1058,8,3,1
1076,8,1,1
1153,8,1,1
1236,8,1,1
1426,8,1,1
1452,8,3,1
1488,8,1,1
1560,8,1,1
1830,8,5,1
1858,8,1,1
1863,8,1,1
1928,8,1,1
2022,8,1,1
2027,8,1,1
2044,8,1,1
2059,8,3,1
2102,8,1,1
2112,8,1,1
2278,8,1,1
2323,8,3,1
2350,8,1,1
2351,8,1,1
2495,8,1,1
2593,8,1,1
2623,8,1,1
2626,8,2,1
2632,8,1,1
2673,8,1,1
2757,8,1,1
2877,8,1,1
2919,8,2,1
3211,8,1,1
3251,8,3,1
3306,8,2,1
3332,8,1,1
3392,8,3,1
3508,8,1,1
3526,8,1,1
3625,8,6,1
3679,8,1,1
3784,8,1,1
3810,8,3,1
3838,8,1,1
4004,8,1,1
4032,8,1,1
4191,8,1,1
4198,8,1,1
4206,8,2,1
4253,8,1,1
4311,8,2,1
4359,8,1,1
4468,8,1,1
4490,8,1,1
4545,8,1,1
4648,8,6,1
4670,8,1,1
4699,8,1,1
4799,8,2,1
4873,8,1,1
4880,8,1,1
5078,8,1,1
5079,8,1,1
5091,8,1,1
5184,8,1,1
5225,8,1,1
5238,8,1,1
5401,8,1,1
5405,8,1,1
5471,8,2,1
5725,8,1,1
5882,8,1,1
55,9,1,1
87,9,1,1
93,9,1,1
187,9,1,1
227,9,1,1
394,9,1,1
413,9,2,1
473,9,2,1
477,9,1,1
503,9,1,1
520,9,1,1
656,9,1,1
657,9,4,1
670,9,1,1
673,9,2,1
865,9,2,1
1030,9,2,1
1093,9,2,1
1120,9,3,1
1130,9,1,1
1156,9,1,1
1161,9,1,1
1216,9,1,1
1355,9,1,1
1368,9,1,1
1443,9,1,1
1452,9,1,1
1500,9,1,1
1518,9,1,1
1525,9,1,1
1531,9,2,1
1544,9,1,1
1621,9,1,1
1652,9,3,1
1654,9,2,1
1670,9,1,1
1808,9,1,1
1824,9,3,1
1874,9,1,1
1924,9,1,1
1925,9,1,1
1938,9,2,1
2023,9,1,1
2024,9,9,1
2037,9,1,1
2147,9,1,1
2283,9,2,1
2330,9,2,1
2447,9,1,1
2550,9,2,1
2583,9,1,1
2603,9,1,1
2617,9,2,1
2640,9,1,1
2691,9,1,1
2717,9,1,1
2718,9,1,1
2771,9,1,1
2877,9,1,1
2959,9,1,1
3015,9,1,1
3050,9,1,1
3087,9,1,1
3198,9,2,1
3392,9,1,1
3557,9,1,1
3581,9,1,1
3677,9,1,1
3859,9,1,1
3863,9,1,1
3916,9,2,1
3936,9,1,1
4048,9,6,1
4111,9,1,1
4158,9,1,1
4188,9,2,1
4204,9,2,1
4221,9,1,1
4396,9,1,1
4432,9,1,1
4436,9,1,1
4439,9,1,1
4505,9,2,1
4528,9,1,1
4534,9,1,1
4539,9,1,1
4565,9,3,1
4718,9,1,1
4735,9,1,1
4740,9,4,1
4742,9,6,1
4746,9,2,1
4797,9,1,1
4805,9,1,1
4884,9,1,1
4959,9,9,1
4962,9,2,1
5030,9,1,1
5081,9,3,1
5175,9,2,1
5215,9,1,1
5223,9,1,1
5254,9,1,1
5313,9,1,1
5372,9,1,1
5574,9,1,1
5684,9,1,1
5782,9,1,1
5821,9,2,1
5839,9,1,1
5868,9,1,1
38,10,2,1
54,10,1,1
96,10,1,1
186,10,1,1
224,10,1,1
254,10,1,1
284,10,1,1
323,10,1,1
369,10,1,1
473,10,1,1
498,10,1,1
506,10,1,1
542,10,1,1
624,10,1,1
656,10,6,1
737,10,1,1
917,10,1,1
1123,10,1,1
1126,10,1,1
1152,10,1,1
1161,10,1,1
1330,10,1,1
1435,10,2,1
1436,10,1,1
1452,10,1,1
1544,10,1,1
1582,10,7,1
1652,10,1,1
1654,10,1,1
1673,10,2,1
1685,10,1,1
1815,10,1,1
1818,10,2,1
1827,10,1,1
1855,10,1,1
1997,10,1,1
2046,10,1,1
2059,10,9,1
2066,10,1,1
2088,10,2,1
2149,10,1,1
2216,10,2,1
2326,10,13,1
2330,10,1,1
2341,10,2,1
2349,10,1,1
2495,10,1,1
2537,10,1,1
2550,10,2,1
2578,10,1,1
2587,10,2,1
2626,10,1,1
2771,10,1,1
2826,10,1,1
2877,10,1,1
2974,10,1,1
3130,10,1,1
3147,10,1,1
3228,10,1,1
3245,10,1,1
3308,10,1,1
3422,10,1,1
3446,10,2,1
3464,10,2,1
3502,10,1,1
3526,10,1,1
3571,10,1,1
3581,10,1,1
3652,10,1,1
3748,10,3,1
3885,10,3,1
4032,10,1,1
4048,10,2,1
4093,10,1,1
4239,10,1,1
4273,10,2,1
4285,10,3,1
4441,10,4,1
4463,10,1,1
4466,10,2,1
4491,10,1,1
4528,10,2,1
4648,10,1,1
4690,10,2,1
4740,10,1,1
4746,10,1,1
4748,10,1,1
4805,10,1,1
4865,10,1,1
4871,10,1,1
4884,10,1,1
4959,10,1,1
4991,10,1,1
4999,10,2,1
5004,10,1,1
5142,10,1,1
5208,10,1,1
5225,10,1,1
5294,10,1,1
5397,10,1,1
5448,10,10,1
5449,10,4,1
5701,10,1,1
5727,10,1,1
5867,10,1,1
14,11,1,1
46,11,1,1
96,11,1,1
181,11,1,1
227,11,1,1
262,11,2,1
311,11,5,1
312,11,1,1
334,11,2,1
339,11,2,1
382,11,1,1
402,11,1,1
623,11,1,1
656,11,1,1
657,11,1,1
720,11,2,1
827,11,1,1
833,11,1,1
861,11,1,1
868,11,2,1
917,11,1,1
930,11,8,1
940,11,1,1
1040,11,1,1
1088,11,1,1
1120,11,1,1
1223,11,1,1
1236,11,1,1
1284,11,1,1
1330,11,1,1
1378,11,1,1
1396,11,1,1
1464,11,1,1
1560,11,1,1
1561,11,1,1
1652,11,2,1
1722,11,1,1
1771,11,5,1
1815,11,1,1
1827,11,1,1
1832,11,2,1
1901,11,1,1
1902,11,2,1
1937,11,1,1
1950,11,1,1
1970,11,2,1
2035,11,1,1
2063,11,1,1
2200,11,1,1
2314,11,1,1
2330,11,2,1
2373,11,1,1
2537,11,1,1
2550,11,1,1
2564,11,1,1
2570,11,2,1
2578,11,1,1
2606,11,1,1
2608,11,1,1
2624,11,2,1
2663,11,1,1
2698,11,1,1
2780,11,2,1
2787,11,1,1
2796,11,2,1
2844,11,1,1
2877,11,1,1
2921,11,1,1
2926,11,2,1
2931,11,1,1
2932,11,1,1
2934,11,3,1
2935,11,1,1
2983,11,1,1
2996,11,1,1
3001,11,1,1
3061,11,1,1
3120,11,11,1
3121,11,1,1
3141,11,1,1
3142,11,1,1
3146,11,1,1
3147,11,1,1
3176,11,1,1
3249,11,1,1
3282,11,1,1
3488,11,4,1
3502,11,1,1
3528,11,1,1
3630,11,1,1
3631,11,1,1
3651,11,1,1
3674,11,1,1
3684,11,2,1
3686,11,2,1
3697,11,1,1
3700,11,1,1
3739,11,1,1
3852,11,1,1
3919,11,1,1
3933,11,1,1
3941,11,2,1
3963,11,2,1
3978,11,1,1
4006,11,1,1
4044,11,1,1
4067,11,1,1
4071,11,2,1
4148,11,1,1
4204,11,1,1
4247,11,2,1
4451,11,1,1
4528,11,1,1
4558,11,1,1
4559,11,1,1
4570,11,1,1
4579,11,2,1
4728,11,1,1
4771,11,4,1
4797,11,1,1
4829,11,2,1
4994,11,1,1
5044,11,3,1
5123,11,1,1
5142,11,1,1
5224,11,1,1
5329,11,2,1
5335,11,1,1
5359,11,1,1
5392,11,1,1
5451,11,1,1
5470,11,6,1
5574,11,1,1
5578,11,1,1
5584,11,1,1
5630,11,8,1
5686,11,1,1
5724,11,1,1
5821,11,1,1
5867,11,1,1
5901,11,5,1
30,12,1,1
31,12,1,1
65,12,1,1
96,12,1,1
335,12,1,1
353,12,1,1
360,12,1,1
473,12,1,1
695,12,1,1
755,12,1,1
793,12,1,1
827,12,1,1
839,12,1,1
915,12,1,1
917,12,1,1
930,12,4,1
1004,12,1,1
1037,12,1,1
1082,12,1,1
1090,12,1,1
1123,12,2,1
1216,12,1,1
1344,12,1,1
1414,12,1,1
1434,12,1,1
1467,12,1,1
1630,12,1,1
1654,12,1,1
1670,12,1,1
1725,12,1,1
1770,12,1,1
1771,12,1,1
1773,12,1,1
1789,12,1,1
1815,12,1,1
1818,12,1,1
1827,12,1,1
1833,12,1,1
1851,12,1,1
2053,12,1,1
2066,12,1,1
2200,12,1,1
2260,12,1,1
2426,12,1,1
2449,12,1,1
2497,12,1,1
2537,12,1,1
2578,12,1,1
2596,12,2,1
2617,12,2,1
2624,12,3,1
2626,12,3,1
2627,12,1,1
2632,12,2,1
2706,12,1,1
2728,12,1,1
2769,12,1,1
2844,12,1,1
2877,12,1,1
3077,12,1,1
3249,12,2,1
3282,12,1,1
3306,12,2,1
3308,12,1,1
3386,12,6,1
3387,12,1,1
3391,12,2,1
3392,12,1,1
3442,12,4,1
3463,12,1,1
3502,12,1,1
3538,12,1,1
3540,12,1,1
3581,12,3,1
3609,12,1,1
3614,12,1,1
3653,12,1,1
3660,12,1,1
3663,12,1,1
3674,12,1,1
3747,12,1,1
3831,12,1,1
3866,12,1,1
3988,12,1,1
4006,12,3,1
4048,12,3,1
4126,12,1,1
4158,12,2,1
4188,12,1,1
4273,12,1,1
4374,12,1,1
4428,12,1,1
4516,12,1,1
4528,12,3,1
4596,12,1,1
4731,12,2,1
4735,12,1,1
4746,12,2,1
4834,12,1,1
4857,12,1,1
4884,12,1,1
4965,12,1,1
5074,12,1,1
5102,12,2,1
5120,12,1,1
5123,12,1,1
5134,12,1,1
5142,12,1,1
5232,12,6,1
5233,12,1,1
5254,12,3,1
5276,12,1,1
5321,12,3,1
5358,12,1,1
5392,12,1,1
5462,12,1,1
5476,12,5,1
5630,12,7,1
5631,12,1,1
5632,12,1,1
5690,12,1,1
5782,12,1,1
5821,12,1,1
5867,12,1,1
5901,12,1,1
24,13,1,1
37,13,1,1
74,13,1,1
87,13,3,1
90,13,1,1
91,13,1,1
96,13,1,1
181,13,1,1
186,13,1,1
238,13,1,1
289,13,2,1
300,13,1,1
334,13,1,1
473,13,2,1
498,13,1,1
530,13,1,1
833,13,5,1
834,13,2,1
880,13,1,1
917,13,1,1
1004,13,7,1
1026,13,1,1
1042,13,1,1
1082,13,2,1
1090,13,1,1
1161,13,1,1
1204,13,1,1
1216,13,2,1
1226,13,1,1
1330,13,3,1
1331,13,1,1
1373,13,1,1
1396,13,5,1
1502,13,1,1
1570,13,1,1
1587,13,1,1
1621,13,2,1
1652,13,1,1
1815,13,1,1
1823,13,1,1
1827,13,1,1
1844,13,1,1
1846,13,1,1
1942,13,1,1
2069,13,1,1
2149,13,1,1
2216,13,1,1
2448,13,1,1
2469,13,1,1
2491,13,1,1
2537,13,1,1
2583,13,1,1
2593,13,1,1
2683,13,1,1
2702,13,1,1
2736,13,1,1
2776,13,1,1
2795,13,1,1
2865,13,1,1
2877,13,1,1
3050,13,1,1
3094,13,1,1
3141,13,1,1
3214,13,2,1
3373,13,2,1
3391,13,8,1
3445,13,1,1
3458,13,1,1
3473,13,1,1
3502,13,1,1
3526,13,2,1
3652,13,1,1
3674,13,1,1
3677,13,1,1
3725,13,1,1
3817,13,1,1
4114,13,1,1
4158,13,3,1
4180,13,4,1
4219,13,1,1
4239,13,2,1
4369,13,1,1
4392,13,1,1
4399,13,1,1
4461,13,1,1
4466,13,1,1
4520,13,1,1
4659,13,4,1
4769,13,1,1
4782,13,1,1
4865,13,1,1
4887,13,1,1
4959,13,1,1
5069,13,2,1
5088,13,2,1
5142,13,2,1
5266,13,1,1
5296,13,1,1
5350,13,1,1
5428,13,4,1
5437,13,1,1
5582,13,1,1
5598,13,2,1
5622,13,1,1
5727,13,1,1
5849,13,1,1
5867,13,2,1
5872,13,1,1
5901,13,2,1
NA,14,2,1
29,14,1,1
53,14,1,1
96,14,2,1
102,14,1,1
106,14,6,1
141,14,1,1
181,14,1,1
227,14,2,1
231,14,1,1
232,14,2,1
291,14,1,1
340,14,4,1
346,14,1,1
357,14,1,1
369,14,2,1
465,14,1,1
473,14,1,1
486,14,1,1
498,14,1,1
512,14,1,1
591,14,1,1
611,14,1,1
616,14,1,1
673,14,1,1
678,14,1,1
695,14,1,1
737,14,1,1
839,14,1,1
917,14,1,1
922,14,1,1
930,14,1,1
940,14,1,1
949,14,1,1
975,14,1,1
1009,14,1,1
1033,14,1,1
1078,14,1,1
1083,14,1,1
1118,14,1,1
1133,14,1,1
1146,14,1,1
1236,14,1,1
1276,14,3,1
1293,14,1,1
1320,14,1,1
1321,14,1,1
1356,14,3,1
1393,14,1,1
1402,14,1,1
1537,14,1,1
1539,14,1,1
1544,14,1,1
1584,14,2,1
1607,14,1,1
1610,14,1,1
1785,14,1,1
1815,14,1,1
1827,14,1,1
1838,14,1,1
1860,14,1,1
1888,14,1,1
1930,14,1,1
1948,14,1,1
1970,14,1,1
2013,14,1,1
2049,14,1,1
2069,14,1,1
2085,14,1,1
2122,14,1,1
2172,14,1,1
2180,14,1,1
2200,14,2,1
2360,14,2,1
